Kind,Name,Cyclomatic,SumCyclomatic,PercentLackOfCohesion,CountClassCoupled,CountClassCoupledModified,CountLineCode,CountLineCodeDecl,CountLineCodeExe
Package,"backend",,0,,,,0,0,0
Package,"backend.helper",,11,,,,43,19,19
Public Class,"backend.helper.CustomMath",,11,90,0,0,42,18,19
Private Constructor,"backend.helper.CustomMath.CustomMath()",1,1,,,,2,1,0
Public Method,"backend.helper.CustomMath.absoluteValue(double)",1,1,,,,4,2,2
Public Method,"backend.helper.CustomMath.absoluteValue(int)",1,1,,,,3,1,1
Public Static Method,"backend.helper.CustomMath.getInstance()",1,1,,,,3,1,1
Public Method,"backend.helper.CustomMath.maximum(double,double)",1,1,,,,5,3,3
Public Method,"backend.helper.CustomMath.maximum(int,int)",1,1,,,,3,1,1
Public Method,"backend.helper.CustomMath.oneIfGreaterThanElseZero(double,double)",1,1,,,,3,1,1
Public Method,"backend.helper.CustomMath.signBit(double)",1,1,,,,3,1,1
Public Method,"backend.helper.CustomMath.squareRoot(double)",1,1,,,,4,2,2
Public Method,"backend.helper.CustomMath.squareRoot(double,double)",2,2,,,,9,3,6
Package,"backend.model",,30,,,,185,101,75
Public Class,"backend.model.ComputeEmpty",,1,0,2,2,6,3,1
Public Method,"backend.model.ComputeEmpty.update(Event)",1,1,,,,4,2,1
Public Class,"backend.model.ComputeMaximum",,1,0,3,3,9,5,4
Public Method,"backend.model.ComputeMaximum.update(Event)",1,1,,,,7,4,4
Public Class,"backend.model.ComputeMean",,1,0,5,5,12,8,7
Public Method,"backend.model.ComputeMean.update(Event)",1,1,,,,10,7,7
Public Class,"backend.model.ComputeMeanAbsoluteDeviation",,2,0,5,5,14,8,9
Public Method,"backend.model.ComputeMeanAbsoluteDeviation.update(Event)",1,2,,,,12,7,9
Lambda Method,"backend.model.ComputeMeanAbsoluteDeviation.update.(lambda_expr_1)()",1,1,,,,1,0,1
Public Class,"backend.model.ComputeMedian",,1,0,3,3,11,7,6
Public Method,"backend.model.ComputeMedian.update(Event)",1,1,,,,9,6,6
Public Class,"backend.model.ComputeMinimum",,1,0,2,2,8,4,3
Public Method,"backend.model.ComputeMinimum.update(Event)",1,1,,,,6,3,3
Public Class,"backend.model.ComputeMode",,5,0,6,6,28,10,18
Private Method,"backend.model.ComputeMode.findMode(List<Double>)",4,4,,,,21,7,16
Public Method,"backend.model.ComputeMode.update(Event)",1,1,,,,5,2,2
Public Abstract Class,"backend.model.ComputeObserver",,6,67,3,3,21,10,5
Public Constructor,"backend.model.ComputeObserver.ComputeObserver()",1,1,,,,3,1,1
Public Method,"backend.model.ComputeObserver.addObserver(ComputeObserver)",1,1,,,,3,1,1
Public Method,"backend.model.ComputeObserver.getOutputList()",1,1,,,,3,1,1
Public Method,"backend.model.ComputeObserver.getOutputValue()",1,1,,,,3,1,1
Public Abstract Method,"backend.model.ComputeObserver.update(Event)",0,0,,,,1,1,0
Public Method,"backend.model.ComputeObserver.updateObservers(Event)",1,2,,,,3,1,1
Lambda Method,"backend.model.ComputeObserver.updateObservers.(lambda_expr_1)()",1,1,,,,1,0,1
